Not Bound Resource Budget Analysis Report

Resource Summary: 
  MIPS capacity 1,200 MIPS : MIPS budget 0,202 MIPS
  1 out of 1 with MIPS capacity
  6 out of 6 with MIPS budget



Detailed Processor MIPS Capacity Report 

Component,Capacity
processor main_processor, 1,200 MIPS,
Total, 1,200 MIPS,


Detailed MIPS Budget Report 

Component,Budget,Actual,Notes
device water_sensor, 0,000 MIPS,0,000 MIPS,
device coffe_sensor, 0,000 MIPS,0,000 MIPS,
device milk_sensor, 0,000 MIPS,0,000 MIPS,
device interface, 0,000 MIPS,0,000 MIPS,
  thread coffe_maker_p.item_sensor_t,   0,000 MIPS,  0,010 MIPS,
  thread coffe_maker_p.interface_t,   0,000 MIPS,  0,096 MIPS,
process coffe_maker_p, 0,900 MIPS,0,106 MIPS,process CoffeMaker_impl_Instance.coffe_maker_p total 0,106 MIPS below budget 0,900 MIPS (88,3 % slack)
  device make_coffe_s.grinder,   0,000 MIPS,  0,000 MIPS,
  device make_coffe_s.heater,   0,000 MIPS,  0,000 MIPS,
  device make_coffe_s.frother,   0,000 MIPS,  0,000 MIPS,
    thread make_coffe_s.coffe_p.make_coffe_t,     0,000 MIPS,    0,096 MIPS,
  process make_coffe_s.coffe_p,   1,000 MIPS,  0,096 MIPS,process CoffeMaker_impl_Instance.make_coffe_s.coffe_p total 0,096 MIPS below budget 1,000 MIPS (90,4 % slack)
system make_coffe_s, 0,900 MIPS,0,096 MIPS,system CoffeMaker_impl_Instance.make_coffe_s total 0,096 MIPS below budget 0,900 MIPS (89,3 % slack)
Total, ,0,202 MIPS,
